"source","target"
"Place relative to","Placer i forhold til"
"Combined display","Kombineret visning"
"Reference points not chosen","Ingen valgte referencepunkter"
"For validation purposes","Til validering"
"Place this level","Placer denne plan"
"Start match point","Startpunkt for afstemning"
"End match point","Endepunkt for afstemning"
"Rotation","Rotering"
"Length","Længde"
"Match points","Afstem punkter"
"Click on the drawing to select reference point A","Klik på tegningen for at vælge referencepunkt A"
"Click on the drawing to select reference point B","Klik på tegningen for at vælge referencepunkt B"
"This building has been deleted.","Denne bygning er blevet slettet."
"Dalux Field Account Manager","Dalux Field Account Manager"
"Start date","Startdato"
"Expiration date","Udløbsdato"
"Last activity","Sidste aktivitet"
"Price","Pris"
"Note","Note"
"Invoices","Fakturaer"
"Invoice","Faktura"
"Are you sure you want to delete this role?","Er du sikker på at du vil slette denne rolle?"
"From","Fra"
"Add filter","Tilføj filter"
"To","Til"
"Drawing setup","Tegningsopsætning"
"Show on list","Vis på liste"
"Show on drawing","Vis på tegning"
"The work description number is used to enumerate tasks. It must therefore be unique.","Arbejdsbeskrivelsens nummer bruges til nummerering af opgaver. Det skal derfor være unikt."
"You must enter a prefix.","Du skal indtaste et præfiks."
"Prefix is used for another template. The prefix must be unique.","Præfiks er brugt af en anden skabelon. Præfikset skal være unikt."
"You must enter a work description number.","Du skal indtaste et nummer til arbejdsbeskrivelsen."
"Get started","Kom godt i gang"
"Action","Handling"
"Get started","Kom godt i gang"
"Help videos","Hjælpevideoer"
"History","Historik"
"Checklist item","Tjeklistepunkt"
"manual_publish_description","Bygninger skal <b>manuelt</b> gøres tilgængelige når de er blevet udarbejdet."
"auto_publish_description","Bygninger vil <b>automatisk</b> blive gjort tilgængelige når de er blevet udarbejdet."
"All checklists","Alle tjeklister"
"Downloading checklists","Henter tjeklister"
"The project has been locked. Contact Dalux.","Projektet er låst. Kontakt Dalux."
"The project has been locked. Contact project administrator.","Projektet er låst. Kontakt projektadministrator."
"Account expired (admin)","Prøveperioden er udløbet."
"Account expired (user)","Prøveperioden er udløbet. Kontakt projektadministrator."
"My Dalux Field project has been locked ({0})","Mit Dalux Field-projekt {0} er blevet låst"
"Best regards","Med venlig hilsen"
"My Dalux Field project {0} has expired","Mit Dalux Field-projekt {0} er udløbet."
"Trial expired","Prøveperioden er udløbet"
"Trial expires today","Prøveperioden udløber i dag"
"Trial expires tomorrow","Prøveperioden udløber i morgen"
"Trial expires in {0} days","Prøveperioden udløber om {0} dage"
"Upgrade","Opgrader"
"Project has been archived","Projektet er arkiveret"
"I would like to upgrade my Dalux Field project {0}","Jeg vil gerne afslutte prøveperioden og opgradere mit Dalux Field-projekt {0}."
"Attachment added","Ny vedhæftet fil"
"Attachment","Vedhæftet fil"
"View (verb)","Vis"
"Create levels from {0}","Opret etager fra {0}"
"Level creation","Oprettelse af etager"
"Create new levels from IFC files","Opret nye etager fra IFC-filer"
"Existing levels","Eksisterende etager"
"Units","Enheder"
"Unit price","Enhedspris"
"Billing","Fakturering"
"The building does not exist anymore.","Bygningen eksisterer ikke mere."
"Invoice header {projectname}","Dalux Field til {0}"
"Case no {projectnumber}","Sag: {0}"
"Period {start to end date}","Periode: {0}"
"Invoice Att {note}","Att: {0}"
"Invoice Note {note}","Note: {0}"
"Do you want to save the changes?","Vil du gemme ændringerne?"
"Don't save","Gem ikke"
"Project number","Projektnummer"
"Project language","Projektsprog"
"Attention to on invoice","Faktura-att."
"Note on invoice","Fakturanote"
"Payment agreement","Firmaprofil"
"Company profile","Firmaprofil"
"1 license","1 licens"
"{0} licenses","{0} licenser"
"Months","Måneder"
"months","måneder"
"Month","Måned"
"User licenses","Brugerlicenser"
"Billing cycle","Faktureringscyklus"
"Next invoice","Næste faktura"
"Project status","Projektstatus"
"Payment information","Betalingsinformation"
"Invoice history","Fakturahistorik"
"Company list","Firmaliste"
"Invoice email","Fakturae-mail"
"Default project language","Standard projektsprog"
"Unused licenses","Ubrugte licenser"
"Administrators","Administratorer"
"Template project","Projektskabelon"
"Open invoice","Åbn faktura"
"Delete license","Slet licens"
"Delete user","Slet bruger"
"Historical data","Historik"
"Project invoice information","Fakturaoplysninger for projekt"
"Company profile invoice information","Fakturaoplysninger for firma "
"Task creators","Opgave-oprettere"
"Show invoice","Vis faktura"
"Photo removed","Foto fjernet"
"Information removed","Information fjernet"
"Information added","Information tilføjet"
"Field added","Felt tilføjet"
"Field removed","Felt fjernet"
"Field updated","Felt opdateret"
"Information updated","Information opdateret"
"previous value","forrige værdi"
"Connecting to Windows viewer","Forbinder til Windows-viewer"
"You can't remove yourself from the project","Du kan ikke fjerne dig selv fra projektet"
"Remove association","Fjern tilknytning"
"No organization has been set","Der er ikke oprettet en organisation"
"New trial project","Nyt prøveprojekt"
"Heading","Overskrift"
"Level name","Etagenavn"
"Display 3D","Vis 3D"
"References","Referencer"
"Edit drawing","Rediger tegning"
"Show photo","Vis foto"
"No additional licenses required","Der kræves ikke ekstra licens"
"{0} additional licenses required","Der kræves {0} ekstra licenser"
"Usage period","Forbrugsperiode"
"Subscription period","Abonnement"
"Invoice usage period","Forbrugsperiode"
"Subscriptions","Abonnementer"
"License","Licens"
"License discount","Rabat, delt firmalicens"
"Add to favorites","Føj til favoritter"
"Remove from favorites","Fjern fra favoritter"
"One additional license required","Der kræves en ekstra licens"
"Required field","Påkrævet felt"
"Please fill the required fields","Udfyld venligst de obligatoriske felter"
"Show license agreement","Vis licensbetingelser"
"Accept license agreement","Accepter licensbetingelser"
"Users to be activated","Brugere som skal aktiveres"
"Users to be deleted","Brugere som skal slettes"
"You must accept the license agreement in order to proceed","Du skal acceptere licensbetingelserne for at fortsætte"
"Select site manager","Vælg byggeleder"
"Create project","Opret projekt"
"Create a new project","Opret et nyt projekt"
"Enter invoice information","Indtast fakturainformation"
"License log","Licenshistorik"
"Standard project","Standardprojekt"
"Identification fields","Identifikationsfelter"
"Edit help text","Rediger hjælpetekst"
"Has license","Har licens"
"Choose standard project","Vælg standardprojekt"
"DaluxUpdateText","Dalux Field er blevet opdateret. Vi anbefaler dig at trykke på knappen Opdater for at kunne bruge den nyeste version."
"Licensed users","Licenserede brugere"
"Unlicensed users","Ikke-licenserede brugere"
"New Dalux Field version","Ny Dalux Field-version"
"Be aware that non-licensed users will be deleted from the project.","Vær opmærksom på at ikke-licenserede brugere vil blive slettet fra projektet."
"Are you sure you want to delete these users from the project?","Er du sikker på at du vil slette disse brugere fra projektet?"
"Do not show again","Vis ikke igen"
"Dalux Field is updated","Dalux Field er opdateret"
"{0} licenses are requested.","{0} licenser er valgt."
"{0} users are chosen to be licensed.","{0} brugere er valgte til at blive licenserede."
"Move {0} users to the {1} list in order to proceed.","Flyt {0} brugere over til '{1}'-listen for at kunne fortsætte."
"I accept","Jeg accepterer"
"the license agreement","licensbetingelserne"
"Only an IT Administrator can upgrade a project.","Kun en IT-administrator kan opgradere et projekt."
"Contact IT Administrator","Kontakt IT-administrator"
"Select timezone","Vælg tidszone"
"Fixed montly price","Fast månedspris"
